Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
582,147,2,2015-01-28T00:00:00.000,,
583,143,2,2015-01-28T00:00:00.000,,
584,150,2,2015-01-28T00:00:00.000,,
585,123,2,2015-01-28T00:00:00.000,,
586,146,2,2015-01-28T00:00:00.000,,
587,144,2,2015-01-28T00:00:00.000,,
588,116,2,2015-01-28T00:00:00.000,,
589,151,2,2015-01-28T00:00:00.000,,
590,140,2,2015-01-28T00:00:00.000,,
591,149,2,2015-01-28T00:00:00.000,,
592,140,2,2015-01-28T00:00:00.000,,
593,152,2,2015-01-28T00:00:00.000,,
594,135,2,2015-01-28T00:00:00.000,,
595,152,2,2015-01-28T00:00:00.000,,
596,148,2,2015-01-28T00:00:00.000,,
597,47,3,2015-01-28T00:00:00.000,,
598,1,2,2015-01-28T00:00:00.000,,
599,152,1,2015-01-28T00:00:00.000,,
600,151,2,2015-01-28T00:00:00.000,,
601,132,10,2015-01-28T00:00:00.000,,
602,102,3,2015-01-28T00:00:00.000,,
603,149,2,2015-01-28T00:00:00.000,,
604,149,2,2015-01-28T00:00:00.000,,
605,154,2,2015-01-28T00:00:00.000,,
606,154,2,2015-01-28T00:00:00.000,,
607,149,2,2015-01-28T00:00:00.000,,
608,154,2,2015-01-28T00:00:00.000,,
610,102,2,2015-01-28T00:00:00.000,,
611,147,2,2015-01-28T00:00:00.000,,
612,147,2,2015-01-28T00:00:00.000,,
613,133,2,2015-01-28T00:00:00.000,,
614,152,2,2015-01-28T00:00:00.000,,
615,125,2,2015-01-28T00:00:00.000,,
616,146,2,2015-01-28T00:00:00.000,,
617,139,2,2015-01-28T00:00:00.000,,
618,141,2,2015-01-28T00:00:00.000,,
619,148,2,2015-01-28T00:00:00.000,,
620,96,2,2015-01-28T00:00:00.000,,
621,66,2,2015-01-28T00:00:00.000,,
622,96,2,2015-01-28T00:00:00.000,,
623,152,2,2015-01-28T00:00:00.000,,
624,143,2,2015-01-28T00:00:00.000,,
625,66,5,2015-01-28T00:00:00.000,23,
626,150,2,2015-01-28T00:00:00.000,,
627,156,2,2015-01-28T00:00:00.000,,
628,147,2,2015-01-28T00:00:00.000,,
629,135,2,2015-01-28T00:00:00.000,,
630,96,2,2015-01-28T00:00:00.000,,
631,156,2,2015-01-28T00:00:00.000,,
